race_id,race_name,year,date,country,track,all_day,category,notes,heat_sheet_url,watch_url
champion-stakes,Champion Stakes,2026,2026-10-17,United Kingdom,Ascot,TRUE,Weight-for-Age,QIPCO British Champions Day,,
queen-elizabeth-ii-stakes,Queen Elizabeth II Stakes,2026,2026-10-17,United Kingdom,Ascot,TRUE,Mile,QIPCO British Champions Day,,
dewhurst-stakes,Dewhurst Stakes,2026,2026-10-10,United Kingdom,Newmarket,TRUE,2yo,,,
melbourne-cup,Melbourne Cup,2026,2026-11-03,Australia,Flemington,TRUE,Staying Handicap,,,
mile-championship,Mile Championship,2026,2026-11-08,Japan,Kyoto Racecourse,TRUE,Mile,,,
japan-cup,Japan Cup,2026,2026-11-29,Japan,Tokyo Racecourse,TRUE,Weight-for-Age,,,
queen-elizabeth-ii-commemorative-cup,Queen Elizabeth II Commemorative Cup,2026,2026-11-15,Japan,Kyoto Racecourse,TRUE,Weight-for-Age Filly,,,
cigar-mile-handicap,Cigar Mile Handicap,2026,2026-11-28,USA,Aqueduct,TRUE,Dirt Mile,,,
clark-stakes,Clark Stakes,2026,2026-11-27,USA,Churchill Downs,TRUE,Weight-for-Age,,,
breeders-cup-classic,Breeders' Cup Classic,2026,2026-11-06,USA,TBD (venue rotates),TRUE,Dirt Classic,Breeders' Cup World Championships,,
breeders-cup-turf,Breeders' Cup Turf,2026,2026-11-07,USA,TBD (venue rotates),TRUE,Turf Classic,Breeders' Cup World Championships,,
breeders-cup-mile,Breeders' Cup Mile,2026,2026-11-06,USA,TBD (venue rotates),TRUE,Turf Mile,Breeders' Cup World Championships,,
breeders-cup-sprint,Breeders' Cup Sprint,2026,2026-11-07,USA,TBD (venue rotates),TRUE,Dirt Sprint,Breeders' Cup World Championships,,
breeders-cup-distaff,Breeders' Cup Distaff,2026,2026-11-06,USA,TBD (venue rotates),TRUE,Dirt Classic Filly,Breeders' Cup World Championships,,
breeders-cup-filly-mare-turf,Breeders' Cup Filly & Mare Turf,2026,2026-11-06,USA,TBD (venue rotates),TRUE,Turf Filly,Breeders' Cup World Championships,,
breeders-cup-juvenile,Breeders' Cup Juvenile,2026,2026-11-07,USA,TBD (venue rotates),TRUE,2yo,Breeders' Cup World Championships,,
champions-cup,Champions Cup,2026,2026-12-06,Japan,Chukyo Racecourse,TRUE,Dirt Classic,,,
asahi-hai-futurity-stakes,Asahi Hai Futurity Stakes,2026,2026-12-20,Japan,Hanshin Racecourse,TRUE,2yo,,,
hopeful-stakes,Hopeful Stakes,2026,2026-12-28,Japan,Nakayama Racecourse,TRUE,2yo,,,
arima-kinen,Arima Kinen,2026,2026-12-27,Japan,Nakayama Racecourse,TRUE,Weight-for-Age,,,
hong-kong-sprint,Hong Kong Sprint,2026,2026-12-13,Hong Kong,Sha Tin,TRUE,Sprint,Hong Kong International Races,,
hong-kong-mile,Hong Kong Mile,2026,2026-12-13,Hong Kong,Sha Tin,TRUE,Mile,Hong Kong International Races,,
hong-kong-cup,Hong Kong Cup,2026,2026-12-13,Hong Kong,Sha Tin,TRUE,Weight-for-Age,Hong Kong International Races,,
hong-kong-vase,Hong Kong Vase,2026,2026-12-13,Hong Kong,Sha Tin,TRUE,Turf Staying,Hong Kong International Races,,
malibu-stakes,Malibu Stakes,2026,2026-12-26,USA,Santa Anita Park,TRUE,Sprint,,,
hollywood-derby,Hollywood Derby,2026,2026-11-28,USA,Del Mar,TRUE,Turf 3yo,,,
